id;label;shape;bgcolor;fontcolor;rank;subgraph;mainGraph;is_terminal;href;tooltip;descr;openSource;keyQuestions;keyLink
Citations;Citations;diamond;#40B0A6;white;2;Writing;Writing;no;NA;;NA;;;
Citations;Citations;diamond;#40B0A6;white;2;Citations;Writing;no;NA;;NA;;;
Citation Managers;Citation Managers;diamond;#40B0A6;white;3;Citations;Writing;no;NA;;NA;;;
Citation Managers;Citation Managers;diamond;#40B0A6;white;3;CitationManagers;Writing;no;NA;;NA;;;
Zotero;Zotero;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://www.zotero.org/;https://www.zotero.org/;Zotero is a free and open-source reference management software that helps users collect, organize, cite, and share research sources and bibliographic information. You can also connect it with Rmarkdown for reproducible workflows.;FALSE;;
Mendeley;Mendeley;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://www.mendeley.com/;https://www.mendeley.com/;Mendeley is a reference management tool and academic social network that assists researchers in organizing, sharing, and citing research papers and other scholarly materials.;FALSE;;
Citavi;Citavi;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://www.citavi.com/en;https://www.citavi.com/en;Citavi is a reference management and knowledge organization software designed to help researchers, students, and academics manage sources, citations, and research tasks efficiently. Check if your institution got a licence for the software.;FALSE;;
Endnote;Endnote;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://endnote.com/de/;https://endnote.com/de/;EndNote is a commercial reference management software that enables researchers, writers, and academics to organize, store, and cite references and bibliographic information in their documents. Check if your institution got a licence for the software.;FALSE;;
Reference management comparison;Reference management comparison;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://en.wikipedia.org/wiki/Comparison_of_reference_management_software;https://en.wikipedia.org/wiki/Comparison_of_reference_management_software;Reference management comparison is a table which evaluates and contrasts various reference management software tools. Additionally, it determines their features, functionalities, and suitability for specific research and academic needs.;FALSE;;
BibTeX;BibTeX;ellipse;#D41159;white;4;CitationManagers;Writing;yes;https://www.bibtex.org/;https://www.bibtex.org/;Bibliography & reference generator that works quite well with Rmd/Papaja.;FALSE;;
Citation Diversity Statement;Citation Diversity Statement;ellipse;#D41159;white;3;Citations;Writing;yes;https://github.com/dalejn/cleanBib;https://github.com/dalejn/cleanBib;To increase awareness about citation bias and mitigate it, by checking for and transparently reporting proportions of citing male and female first and last authors, use the citation diversity statement by Zurn et al. (2020, TICS).;FALSE;;
Recite;Recite;ellipse;#D41159;white;3;Citations;Writing;yes;https://reciteworks.com/;https://reciteworks.com/;To check your in-text citations and reference lists for errors, use Reciteworks.;FALSE;;
Citation Gecko;Citation Gecko;ellipse;#D41159;white;3;Citations;Writing;yes;https://citationgecko.azurewebsites.net/;https://citationgecko.azurewebsites.net/;Gecko is here to help you find the most relevant papers to your research and give you a more complete sense of the research landscape.;FALSE;;
Publication;Publication;rectangle;#005AB5;white;1;initial;initial;no;NA;;NA;;Where to upload data, code, materials, and/or a preprint?  || Is the published data FAIR (�Findable, Accessible, Interoperable, and Reusable�)?  || How to write a cover letter? || How to write a rebuttal to reviewer comments?;https://igor-biodgps.github.io/ARIADNE/contentpages/step9.html#step-9-publication
Publication;Publication;rectangle;#005AB5;white;1;Publication;Publication;no;NA;;NA;;;
Journal choice;Journal choice;diamond;#40B0A6;white;2;Publication;Publication;no;NA;;NA;;;
Journal choice;Journal choice;diamond;#40B0A6;white;2;Journalchoice;Publication;no;NA;;NA;;;
JANE;JANE;ellipse;#D41159;white;3;Journalchoice;Publication;yes;https://jane.biosemantics.org/;https://jane.biosemantics.org/;If you don’t know who to suggest as a reviewer or what journal to submit your paper to, check out JANE.;FALSE;;
Journal Rater;Journal Rater;ellipse;#D41159;white;3;Journalchoice;Publication;yes;https://phdvoice.org/journalrater/;https://phdvoice.org/journalrater/;If you want to know about the review process and manuscript handling, check out the Journal Rater by PhD Voice. Because “life’s too short to put up with Reviewer 2’s”.;FALSE;;
Journal suggester;Journal suggester;ellipse;#D41159;white;3;Journalchoice;Publication;yes;https://authorservices.taylorandfrancis.com/publishing-your-research/choosing-a-journal/journal-suggester/;https://authorservices.taylorandfrancis.com/publishing-your-research/choosing-a-journal/journal-suggester/;Just paste your abstract and get some suggestions for journals you can submit to.;FALSE;;
Journal abbreviations;Journal abbreviations;ellipse;#D41159;white;3;Journalchoice;Publication;yes;https://images.webofknowledge.com/images/help/WOS/P_abrvjt.html;https://images.webofknowledge.com/images/help/WOS/P_abrvjt.html;This list shows the abbreviations used for journal titles as cited works.;FALSE;;
SciRev;SciRev;ellipse;#D41159;white;3;Journalchoice;Publication;yes;https://scirev.org/;https://scirev.org/;If you want to know how long the review process for a specific journal is, or people's experience with publishing there, check SciRev.;FALSE;;
Preprint;Preprint;diamond;#40B0A6;white;2;Publication;Publication;no;NA;;NA;;;
Preprint;Preprint;diamond;#40B0A6;white;2;Preprint;Publication;no;NA;;NA;;;
Sherpa Romeo;Sherpa Romeo;ellipse;#D41159;white;3;Preprint;Publication;yes;https://v2.sherpa.ac.uk/romeo/;https://v2.sherpa.ac.uk/romeo/;If you are not sure whether you are allowed to upload a preprint prior to journal submission.;FALSE;;
Preprint server;Preprint server;diamond;#40B0A6;white;3;Preprint;Publication;no;NA;;NA;;;
Preprint server;Preprint server;diamond;#40B0A6;white;3;Preprintserver;Publication;no;NA;;NA;;;
MetArXiv;MetArXiv;ellipse;#D41159;white;4;Preprintserver;Publication;yes;https://osf.io/preprints/metaarxiv/;https://osf.io/preprints/metaarxiv/;A preprint platform for publications related to meta research.;FALSE;;
